Date,Open,High,Low,Close,Adj Close,Volume
02-06-08,81.150002,81.57,80.050003,80.230003,80.230003,6215200
03-06-08,80.709999,81.889999,79.260002,80.110001,80.110001,5870000
04-06-08,80.110001,81.82,79.720001,81.5,81.5,6458300
05-06-08,82.110001,84.879997,81.800003,84.510002,84.510002,8938700
06-06-08,83.239998,83.639999,80.559998,80.629997,80.629997,7843700
09-06-08,81.190002,81.529999,78.120003,79.43,79.43,6537300
10-06-08,78.199997,81.040001,78.199997,79.620003,79.620003,6065600
11-06-08,79.349998,80,77.029999,77.279999,77.279999,5874500
12-06-08,78.019997,79.050003,75.010002,76.150002,76.150002,6204400
13-06-08,76.699997,80,76.699997,79.169998,79.169998,5974500
16-06-08,78.419998,82.529999,78.410004,81.699997,81.699997,5754400
17-06-08,83.150002,84.300003,82.800003,82.970001,82.970001,8802400
18-06-08,82,83.169998,81.32,82.519997,82.519997,6846600
19-06-08,82.209999,84.470001,81.5,84.260002,84.260002,6717300
20-06-08,83.099998,83.459999,80.510002,81.099998,81.099998,6588900
23-06-08,81.300003,82.150002,79.550003,80.68,80.68,7425800
24-06-08,79.550003,80.790001,77.629997,79.639999,79.639999,7140100
25-06-08,80.449997,82.150002,79.519997,80.510002,80.510002,7393300
26-06-08,79.099998,79.889999,76,76.300003,76.300003,11310100
27-06-08,75.589996,76.07,72.620003,74.660004,74.660004,11840500
30-06-08,75.029999,76.120003,73.209999,73.330002,73.330002,7104100
01-07-08,72.239998,74.230003,70.519997,73.620003,73.620003,10292500
02-07-08,74.160004,74.410004,71.379997,71.440002,71.440002,7044400
03-07-08,72.510002,73.839996,70.519997,72,72,4248200
07-07-08,72.370003,74.400002,70.760002,72.489998,72.489998,7355500
08-07-08,72.379997,75.489998,71.75,75.040001,75.040001,7916000
09-07-08,74.559998,74.900002,70.480003,70.610001,70.610001,6912100
10-07-08,70.699997,71.769997,67.989998,70.629997,70.629997,9941600
11-07-08,69.400002,69.989998,66.739998,68.540001,68.540001,7930000
14-07-08,69.309998,69.5,65.589996,66.279999,66.279999,9021300
15-07-08,65.870003,68.620003,62.990002,67.029999,67.029999,11342100
16-07-08,66.940002,72.75,66.839996,71.839996,71.839996,12038900
17-07-08,71.199997,72.379997,67.739998,72.110001,72.110001,9597400
18-07-08,69.940002,70.839996,68.400002,69.120003,69.120003,8298000
21-07-08,69.519997,69.800003,66.300003,68.480003,68.480003,6896900
22-07-08,67.089996,69.139999,65.879997,67.970001,67.970001,8795800
23-07-08,67.459999,72.07,67.459999,70.540001,70.540001,17916200
24-07-08,76.300003,82.379997,76.290001,78.720001,78.720001,30996600
25-07-08,79.629997,80.940002,78.120003,78.309998,78.309998,9150700
